genre,subscribers,rating,views,likes
ACTION,460234.3088,9.532058824,45030.24019,2843.358044
COMEDY,375962.1053,9.183859649,51786.89382,4016.041754
DRAMA,414308.3378,9.497297297,34596.72955,2886.904757
FANTASY,462855.3058,9.531239669,35297.21863,2771.821959
HEARTWARMING,222459.5,9.68,8734.513,1409.2365
HISTORICAL,241233,9.54,5299.0688,755.6392
HORROR,364858.2727,9.480909091,21551.01105,1659.551591
MYSTERY,325303.6,9.494,17157.5789,2013.7393
ROMANCE,839668.1481,9.455277778,70306.12235,4974.987852
SF,244838.4857,9.351428571,17547.71583,1498.996343
SLICE_OF_LIFE,288381.5,9.2175,58990.34962,4810.222673
SPORTS,442976.1538,9.203846154,49511.93092,2830.775923
SUPERNATURAL,464977.575,9.43925,26419.27453,2355.144425
SUPER_HERO,362516.4615,8.845,47787.41738,2459.721385
THRILLER,487917.0244,9.46804878,27726.64434,2040.572366
TIPTOON,200566.8333,9.206666667,11645.12883,732.3313333
